variable,dtype,source,pct_missing,confidence,data_type
companyName,object,equityBicsV2,0.0,High,reported
ticker,object,equityBicsV2,0.0,High,reported
isin,object,equityBicsV2,0.0,High,reported
country,object,equityBicsV2,0.0,High,reported
bics_sector,object,equityBicsV2,0.0,High,reported
bics_industry,object,equityBicsV2,0.0,High,reported
bics_sub_industry,object,equityBicsV2,0.0,High,reported
bics_activity,object,equityBicsV2,0.0,High,reported
market_cap_eur_bn,float64,yfinance / calculated,0.0,High,reported
index_weight_pct,float64,yfinance / calculated,0.0,High,reported
reporting_year,int64,yfinance / calculated,0.0,High,reported
scope1_emissions_tco2e,int64,esgEnvironmentalSocial,0.0,High,reported
scope2_emissions_market_tco2e,int64,esgEnvironmentalSocial,0.0,High,reported
scope2_emissions_location_tco2e,int64,esgEnvironmentalSocial,0.0,High,reported
scope3_emissions_tco2e,float64,esgEnvironmentalSocial,15.7,Medium,reported
scope3_categories_reported,int64,esgEnvironmentalSocial,0.0,High,reported
total_energy_consumption_gwh,float64,esgEnvironmentalSocial,0.0,High,reported
renewable_energy_pct,float64,esgEnvironmentalSocial,0.0,High,reported
energy_intensity_mwh_per_eur_m_revenue,float64,esgEnvironmentalSocial,0.0,High,reported
water_withdrawal_m3,float64,esgEnvironmentalSocial,24.3,Low,reported
water_consumption_m3,float64,esgEnvironmentalSocial,24.3,Low,reported
water_stress_area_pct,float64,esgEnvironmentalSocial,0.0,High,reported
waste_generated_tonnes,int64,yfinance / calculated,0.0,High,reported
waste_recycled_pct,float64,yfinance / calculated,0.0,High,reported
hazardous_waste_tonnes,int64,yfinance / calculated,0.0,High,reported
employees_total,int64,yfinance / calculated,0.0,High,reported
women_in_workforce_pct,float64,yfinance / calculated,0.0,High,reported
gender_pay_gap_pct,float64,yfinance / calculated,0.0,High,reported
employee_turnover_pct,float64,yfinance / calculated,0.0,High,reported
training_hours_per_employee,float64,yfinance / calculated,0.0,High,reported
work_related_injury_rate,float64,yfinance / calculated,0.0,High,reported
fatalities,int64,yfinance / calculated,0.0,High,reported
supplier_esg_audits_pct,float64,esgEnvironmentalSocial,0.0,High,reported
community_investment_eur_m,float64,yfinance / calculated,0.0,High,reported
carbon_intensity_tco2e_per_eur_m_revenue,float64,esgEnvironmentalSocial,0.0,High,reported
sbti_status,object,yfinance / calculated,0.0,High,reported
net_zero_target_year,float64,yfinance / calculated,30.0,Low,reported
reporting_year_gov,int64,yfinance / calculated,0.0,High,reported
board_size,int64,esgGovernance,0.0,High,reported
board_independence_pct,float64,esgGovernance,0.0,High,reported
women_on_board_pct,float64,esgGovernance,0.0,High,reported
ceo_chair_separation,int64,yfinance / calculated,0.0,High,reported
ceo_tenure_years,int64,yfinance / calculated,0.0,High,reported
audit_committee_independence_pct,float64,esgGovernance,0.0,High,reported
remuneration_committee_independence_pct,float64,yfinance / calculated,0.0,High,reported
ceo_pay_ratio,float64,yfinance / calculated,8.6,Medium,reported
executive_pay_esg_linked_pct,float64,esgEnvironmentalSocial,22.9,Low,reported
say_on_pay_approval_pct,float64,yfinance / calculated,0.0,High,reported
shareholder_rights_score_0_100,int64,yfinance / calculated,0.0,High,reported
anti_corruption_policy,int64,yfinance / calculated,0.0,High,reported
whistleblower_policy,int64,yfinance / calculated,0.0,High,reported
data_privacy_policy,int64,yfinance / calculated,0.0,High,reported
lobbying_disclosure,float64,yfinance / calculated,8.6,Medium,reported
political_donations_eur_k,int64,yfinance / calculated,0.0,High,reported
tax_transparency_report,int64,yfinance / calculated,0.0,High,reported
esg_committee_at_board_level,int64,esgEnvironmentalSocial,0.0,High,reported
external_esg_assurance,object,esgEnvironmentalSocial,12.9,Medium,reported
assurance_provider,object,yfinance / calculated,5.7,Medium,reported
ungc_signatory,int64,yfinance / calculated,0.0,High,reported
controversies_score_0_10,float64,yfinance / calculated,0.0,High,reported
reporting_year_tax,int64,yfinance / calculated,0.0,High,reported
taxonomy_eligible_turnover_pct,float64,legalEntityEuTaxonomy,0.0,High,reported
taxonomy_aligned_turnover_pct,float64,legalEntityEuTaxonomy,35.7,Low,reported
taxonomy_eligible_capex_pct,float64,legalEntityEuTaxonomy,0.0,High,reported
taxonomy_aligned_capex_pct,float64,legalEntityEuTaxonomy,60.0,Low,reported
taxonomy_eligible_opex_pct,float64,legalEntityEuTaxonomy,0.0,High,reported
taxonomy_aligned_opex_pct,float64,legalEntityEuTaxonomy,35.7,Low,reported
climate_mitigation_eligible,int64,legalEntityEuTaxonomy,0.0,High,reported
climate_adaptation_eligible,int64,legalEntityEuTaxonomy,0.0,High,reported
water_protection_eligible,int64,esgEnvironmentalSocial,0.0,High,reported
circular_economy_eligible,int64,legalEntityEuTaxonomy,0.0,High,reported
pollution_prevention_eligible,int64,legalEntityEuTaxonomy,0.0,High,reported
biodiversity_eligible,int64,esgGovernance,0.0,High,reported
dnsh_climate_mitigation,object,legalEntityEuTaxonomy,35.7,Low,reported
dnsh_climate_adaptation,object,legalEntityEuTaxonomy,61.4,Low,reported
dnsh_water,object,esgEnvironmentalSocial,55.7,Low,reported
dnsh_circular_economy,object,legalEntityEuTaxonomy,48.6,Low,reported
dnsh_pollution,object,legalEntityEuTaxonomy,52.9,Low,reported
dnsh_biodiversity,object,esgGovernance,58.6,Low,reported
minimum_social_safeguards,object,esgEnvironmentalSocial,15.7,Medium,reported
green_revenue_proxy_pct,float64,legalEntityEuTaxonomy,0.0,High,reported
fossil_fuel_revenue_pct,float64,yfinance / calculated,0.0,High,reported
taxonomy_disclosure_quality,object,legalEntityEuTaxonomy,0.0,High,reported
data_vintage,object,yfinance / calculated,0.0,High,reported
